date,No change,We are hiring,Temporary furloughs,Laying off employees,"Closed doors, laid off most or all staff",Do not know
20-Apr,0.1053,0.1053,0.4211,0.2632,0.1053,0.0000
20-May,0.0833,0.0417,0.5000,0.2917,0.0833,0.0000
20-Aug,0.0714,0.3571,0.1429,0.2857,0.0357,0.1071
