Date,All,Campgrounds + Hospitality,Fishing,Gear + Equipment,Guides + Outfitters,Hunting,Motor Vehicle,Snowsports,Volunteer,Water Sports,Manufacturer,Retailer,Service Provider
4/1/2020,518-23697-1161800-0-2-4-13-1-1-5-2-3-4-2-3-1-4-1-3-5-1-1-1-4-2-3-5-2-1-3-0-3-5-2-3-1-3-6-1-2-7-1-0-8-0-1-8-1-1-6-0-1-9-1-0-4-0-1-10-2-13-3-1-2-0-11-4-1-1-0-2-4-7-2-2-2-7-7-1-3-13-2-0-1-3-0-0-0-2-0-6-3-0-1-5-2,15-3235-48000-0-0-0-2-1-1-0-1-0-1-0-0-1-0-0-1-0-0-0-0-0-0-1-1-1-0-1-0-0-0-1-1-0-0-1-0-1-1-0-0-1-0-1-1-0-0-0-0-0-2-0-0-0-0-1-2-0-3-0-0-0-0-3-0-0-0-0-0-1-1-0-1-0-1-2-0-1-3-0-0-0-0-0-0-0-0-0-1-1-0-0-1-0,21-900-10000-0-0-0-1-0-0-1-0-0-0-0-0-0-0-0-0-1-0-0-0-1-0-0-0-0-0-0-0-0-1-0-0-0-0-1-0-0-0-0-0-0-0-0-1-0-0-1-0-0-0-0-0-0-0-0-1-0-1-0-0-0-0-0-1-0-0-0-0-0-1-0-0-0-1-0-0-0-0-1-0-0-0-0-0-0-0-0-1-0-0-0-0-0,188-9010-1005000-0-0-2-2-0-0-2-1-0-0-0-1-0-1-1-1-0-0-1-0-1-1-1-0-0-1-0-0-1-1-1-0-1-1-2-0-0-0-1-0-2-0-0-1-1-0-3-0-0-0-1-0-1-0-0-2-1-3-2-0-1-0-3-2-0-1-0-1-1-2-1-0-1-2-1-1-0-4-0-0-0-0-0-0-0-1-0-2-0-0-0-0-1,21-1032-5000-0-0-0-3-0-0-1-0-1-1-0-0-0-1-0-1-0-0-0-0-0-1-0-2-0-0-1-0-1-1-0-0-0-0-1-0-0-2-0-0-2-0-0-1-0-0-1-0-0-2-0-0-2-0-0-1-0-1-0-0-0-0-1-0-0-0-0-1-1-0-0-1-1-1-0-0-1-1-0-0-0-2-0-0-0-1-0-0-0-0-0-2-0,17-2500-500-0-0-0-1-0-0-0-0-0-0-0-0-0-1-0-0-0-0-0-0-0-0-1-0-0-0-0-0-1-0-0-0-0-0-1-0-0-0-0-0-1-0-0-0-0-0-0-0-0-1-0-0-0-0-0-0-1-1-0-0-0-0-1-0-0-0-0-0-0-1-0-0-0-0-0-0-0-1-0-0-0-0-0-0-0-0-0-0-0-0-0-1-0,124-3313-47000-0-0-1-2-0-0-1-0-1-1-1-0-0-0-0-0-1-1-0-0-1-0-0-0-1-0-0-0-0-1-0-1-0-1-1-0-1-1-0-0-0-0-0-3-0-1-0-0-0-1-0-0-0-0-0-2-0-1-0-1-0-0-1-0-1-0-0-0-1-0-1-0-0-1-2-0-1-1-1-0-0-0-0-0-0-0-0-0-1-0-0-0-1,17-754--0-2-0-0-0-0-1-0-0-0-0-1-0-1-0-0-0-0-0-0-0-1-0-0-0-0-0-0-0-1-0-0-0-0-0-0-0-2-0-0-1-0-0-0-0-0-0-0-0-1-0-0-0-0-0-1-0-2-0-0-0-0-1-0-0-0-0-0-0-1-0-0-0-0-1-0-0-2-0-0-0-0-0-0-0-1-0-0-0-0-0-1-0,22-133-3000-0-0-0-1-0-0-0-0-0-0-0-1-0-0-0-0-0-0-0-0-0-0-0-1-0-0-0-0-0-0-0-0-0-1-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-1-0-0-0-0-0-0-0-1-0-0-0-0-0-0-0-0-0-0-0-1-0-0-0-0-0-0-0-1-0-0-0-0-0-0-0-0-0-1-0-0-0-0-0,100-3170-48300-0-0-1-2-0-0-0-0-1-1-1-0-0-0-0-0-3-0-0-1-1-0-0-1-0-0-1-0-1-0-0-1-0-0-0-1-0-1-0-0-2-0-0-1-0-0-2-0-0-1-0-0-2-0-0-1-0-1-1-0-1-0-2-1-0-0-0-1-1-1-0-0-1-1-1-0-0-1-0-0-1-1-0-0-0-0-0-1-1-0-1-0-0,437-16877-1060500-0-2-3-7-0-0-4-1-1-2-2-2-0-3-1-1-3-1-1-1-2-2-2-1-1-1-1-0-2-3-1-2-1-1-5-0-1-4-1-0-5-0-0-5-1-0-5-0-0-4-1-0-2-0-0-6-2-8-1-1-1-0-6-2-1-1-0-1-3-6-1-0-1-4-3-1-1-7-2-0-1-1-0-0-0-1-0-2-1-0-1-3-0,195-9830-75800-0-1-2-7-0-0-3-1-2-2-0-1-0-3-0-1-4-0-1-0-3-2-2-1-0-1-0-0-3-3-1-1-1-1-5-1-0-2-1-0-5-0-0-4-1-1-5-0-2-0-1-0-3-0-0-4-2-6-1-1-2-0-6-2-1-1-0-2-2-4-2-0-2-3-3-1-1-7-1-0-1-0-0-0-0-1-0-3-1-0-1-2-1,66-5800-66000-0-0-0-7-1-1-1-1-1-3-0-1-1-2-0-2-1-0-0-0-0-1-1-5-1-0-2-0-1-1-1-2-0-1-3-0-1-3-0-0-4-0-1-2-0-0-2-0-1-5-0-0-3-0-1-3-0-5-3-0-0-0-4-3-0-0-0-1-3-2-0-2-1-3-2-0-2-5-0-0-0-3-0-0-0-1-0-2-1-0-1-3-0
5/1/2020,523-33037-2084546-0-0-4-15-1-0-5-3-5-3-2-1-1-8-0-2-0-2-4-0-2-2-8-2-2-1-4-2-3-3-0-1-4-2-7-0-0-9-0-4-7-0-0-6-1-2-1-0-0-13-1-2-3-0-1-8-3-0-0-0-0-0-12-2-4-1-0-2-7-12-1-2-3-4-6-3-1-8-4-0-1-2-2-0-3-0-1-4-4-0-1-5-3,13-3100-20000-0-0-0-1-1-0-0-1-0-0-0-0-0-1-0-0-0-0-0-0-0-0-0-0-0-0-0-0-1-0-0-0-0-0-0-0-0-1-0-0-1-0-0-0-0-0-0-0-0-1-0-0-0-0-0-1-0-1-0-0-0-0-1-0-0-0-0-0-0-1-0-0-0-0-1-0-0-1-0-0-0-0-0-0-1-0-0-0-1-0-0-0-0,21-900-100000-0-0-0-1-0-0-0-0-1-0-0-0-0-0-0-1-0-0-0-0-1-0-0-0-0-0-0-0-0-0-0-0-1-0-0-0-0-1-0-0-0-0-0-1-0-0-0-0-0-1-0-0-1-0-0-0-0-1-0-0-0-0-1-0-0-0-0-1-0-0-0-0-0-0-0-1-0-0-1-0-0-0-0-0-0-0-0-1-0-0-0-0-0,178-15571-1795000-0-0-1-3-0-0-2-0-0-1-0-1-0-2-0-0-0-0-1-0-0-1-1-0-0-1-0-0-1-1-0-0-1-0-3-0-0-0-0-0-3-0-0-0-0-1-0-0-0-2-0-0-1-0-0-2-0-2-1-1-1-1-2-1-1-1-0-1-1-3-1-0-1-1-2-1-0-3-0-0-0-0-0-0-1-0-0-2-0-0-1-0-1,19-4632-30000-0-0-0-3-0-0-1-0-1-1-0-0-0-2-0-0-0-0-1-0-0-0-1-1-1-0-1-0-0-1-0-0-1-0-1-0-0-2-0-1-1-0-0-1-0-0-0-0-0-3-0-2-0-0-0-1-0-1-2-0-0-0-2-1-0-0-0-1-2-1-0-1-2-0-0-1-1-1-0-0-0-1-1-0-0-0-0-1-1-0-0-1-0,17-2500-500-0-0-1-0-0-0-0-0-0-0-1-0-0-0-0-0-0-0-1-0-0-0-1-0-0-0-1-0-0-0-0-0-0-0-0-0-0-1-0-0-0-0-0-1-0-0-0-0-0-1-0-0-0-0-0-0-1-1-0-0-0-0-1-0-0-0-0-0-0-1-0-0-0-0-0-0-0-1-0-0-0-0-0-0-0-0-0-0-0-0-0-1-0,128-2613-47000-0-0-1-2-0-0-0-1-1-1-0-0-0-0-0-1-0-1-0-0-0-0-1-0-1-0-0-0-1-0-0-0-1-0-2-0-0-1-0-0-2-0-0-1-0-0-1-0-0-1-0-0-0-0-1-1-0-0-0-2-0-0-0-0-2-0-0-0-2-0-0-0-0-1-0-0-0-0-2-0-0-0-0-0-1-0-0-0-1-0-0-0-1,12-704-50004-0-0-1-1-0-0-2-0-0-0-0-0-0-2-0-0-0-0-0-0-1-0-1-0-0-0-0-1-0-1-0-0-0-1-0-0-0-1-0-1-0-0-0-1-0-0-0-0-0-2-0-0-0-0-0-2-0-1-0-1-0-0-1-0-1-0-0-0-0-2-0-0-0-1-1-0-0-0-1-0-0-0-1-0-0-0-0-0-1-0-0-1-0,22-130-3000-0-0-0-1-0-0-1-0-0-0-0-0-0-1-0-0-0-0-0-0-0-0-1-0-0-0-0-0-0-1-0-0-0-0-1-0-0-0-0-0-1-0-0-0-0-0-0-0-0-0-1-0-0-0-0-0-1-1-0-0-0-0-1-0-0-0-0-0-0-1-0-0-0-0-1-0-0-1-0-0-0-0-0-0-0-0-0-1-0-0-0-0-0,117-3073-53000-0-0-0-3-0-0-0-0-2-0-1-0-1-0-0-0-0-1-1-0-0-1-1-1-0-0-1-1-0-0-0-1-0-0-1-0-0-2-0-1-0-0-0-1-1-1-0-0-0-2-0-0-1-0-0-1-1-2-1-1-0-0-3-0-0-0-0-0-2-2-0-1-1-1-0-0-0-1-0-0-1-1-0-0-0-0-1-0-0-0-0-1-1,447-23288-1995504-0-0-4-8-0-0-4-0-3-2-2-1-0-4-0-1-0-2-2-0-2-2-3-1-1-1-2-1-1-2-0-1-3-1-4-0-0-6-0-1-4-0-0-5-1-2-1-0-0-7-0-0-2-0-1-5-2-6-4-2-1-1-7-1-3-1-0-2-4-7-1-1-1-3-3-2-0-4-3-0-1-1-1-0-2-0-0-3-1-0-1-3-3,176-15644-1005500-0-0-2-8-0-0-2-1-2-2-2-1-0-2-0-2-0-1-3-0-1-0-5-1-0-1-1-1-1-2-0-1-2-1-5-0-0-3-0-2-4-0-0-3-0-0-1-0-0-7-0-0-3-0-0-4-1-6-1-3-1-1-6-1-3-1-0-2-3-5-1-0-2-4-1-2-0-4-3-0-0-1-0-0-2-0-1-2-2-0-1-2-1,62-9262-63000-0-0-0-6-1-0-2-1-1-1-1-0-4-0-0-0-0-1-1-0-0-0-3-2-1-0-1-0-1-2-0-1-1-0-2-0-0-4-0-1-3-0-0-2-0-0-0-0-0-5-1-2-0-0-0-3-1-4-2-0-0-0-5-1-0-0-0-1-3-3-0-1-2-1-2-1-1-3-0-0-0-2-1-0-1-0-0-2-2-0-0-2-0
