Question,Down 75% or more,Down 50% to 74%,Down 26% to 49%,Down 11% to 25%,Down 10% or less,Flat,Do not know,Increase 10% or less,Increase 11% to 25%,Increase 26% to 49%,
compared to 1 year ago? (industry businesses),0.043478261,0.130434783,0.130434783,0.304347826,0.043478261,0.043478261,0.086956522,0,0.130434783,0.086956522,1
compared to 1 year ago? (trade association),0.043478261,0.086956522,0.260869565,0.173913043,0.130434783,0.130434783,0.086956522,0,0.043478261,0.043478261,1
compared to last month? (industry businesses),0.043478261,0.043478261,0.086956522,0.086956522,0.173913043,0.043478261,0.173913043,0.086956522,0.130434783,0.130434783,1
compared to last month? (trade association),0.043478261,0,0.086956522,0.173913043,0,0.304347826,0.173913043,0.043478261,0.086956522,0.086956522,1
