date,No change,We are hiring,Temporary furloughs,Laying off employees,"Closed doors, laid off most or all staff",Do not know
Apr-20,0.5652,0.1304,0.087,0.1739,0.0435,0
May-20,0.4545,0.0455,0.2273,0.1818,0.0455,0.0455
Aug-20,0.5,0.076923077,0.076923077,0.230769231,0,0.115384615
