Question,"No change","We are hiring,Temporary furloughs","Laying off employees","Closed doors, laid off most or all staff","Do not know"
compared to 1 year ago? (association),13,2,2,6,0,3
compared to last month? (association),16,2,1,1,0,3
compared to 1 year ago? (members),2,9,4,8,1,3
compared to last month? (members),4,9,1,5,1,4
